Q/A,QA,Category_1
question,Does the cvidence that -- that N% e have seen here that Lorillard has as its most successful brand a brand that is bought by a large number of under-age smokers make you angry?,bin-d
answer,By a large number of under-age smokers make me angry?,nu
question,Yes .,y
answer,No . I have no control over what individual behavior is . Doesn't make me angry .,n-d
question,". As the CEO of the company today, does it concern you that it has been reported that the base of your business of the most popular brand you have are under-age smokers?",bin-d
answer,"The fact that it's been reported doesn't bother me at all. I think it has to be considcred in the meaning of the -- the meaning of the word . And certainly there is not a significant number of Lorillard smokers that are in this under-age group in terms of the total franchise . And certainly we do I I not market to these individuals, and what habits they have are determined by their parents and their -- presumably their peers, as we've seen, out of the control of Lorillard. We have certainly tried to discourage with progrmns through The Tobacco Institute the use of cigarettes by those under age, including some inCormation to parents on how they should respond to questions raised by early teenagers .",sno
question,Well the tobacco industry has repeatedly said that it does not want young people to smoke ; correct?,bin-d
answer,That's correct.,y
question,And they've done that through industry organizations like The Tobacco Institute?,bin
answer,That's correct.,y
question,And The Tobacco Institute has taken that position publicly for ycars ; is that correct?,bin-d
answer,"Yes, it has .",y
question,"Showing you now, Mr . Spears, what's been marked as Pluintiffs' Exhibit 1246, it is -- appears to be an advertisement . It says ""TED BATES & COMPANY Advertising"" at the top, it says ""COPY DEPARTMENT,"" and it says ""CLIENT : TOBACCO INSTITUTE"" on the left-hand side near the top, and it's dated 11/29i67. It bears Bates number MNAT00387159 . Have you seen this document before?",bin-d
answer,I don't recall it .,dno
question,Have you seen advertisements on behalf of The Tobacco Institute of this kind bearing copy of the kind that is shown on Exhibit 1246?,bin
answer,"No, I haven't seen. Or if I have, I don't recall this type of copy .",n-d
question,Have you seen publications by The Tobacco Institute as advertisements to the public in which they said cigarette makers believe the decision to smoke or to not smoke must be an adult judgment?,bin-d
answer,"What I recall seeing are materials that were provided as educational materials out of The Tobacco Institute to reach patients, materials in terms of restricting purchasing, the We Card program it's referred to, through retailer -- in cooperation with retailer organizations, these kinds of materials .",sno
question,"Do you recall seeing Tobacco Institute advertisements to the public in the 1960s, however, saying that The Tobacco Institute aud the cigarette manufacturers believed that smoking is -- is an adult custout?",bin-d
answer,I don't recall one way or the other .,dno
question,". And that as the bottom paragraph of this copy states, ""The cigarette makers urge our young people not to smoke. . .not to touch a cigarette until they can make a more responsible decision .""",sno
answer,I say I don't recall one way or the other in terms of this time period .,dno
question,"At later time periods do you recall seeing Tobacco Institute advertisements that made those stutenients, that smol :in- is an adult custom and that the tobacco manufacturers urged young people not to smoke'?",bin
answer,What I recall are the kinds of materials I've just described earlier .,sno
question,. Do you have any reason to believe that The Tobacco Institute was not putting out advertisements of this kind in the mid-1960s?,bin
answer,". No, I don't -- I don't know .",dno
question,. Assuming -- And at that time was Lorillard a member of The Tobacco Institute?,bin
